Stress(MPa),Strain(%)
365.6793546,8.783739302
365.9318759,8.800197498
365.943317,8.813364055
366.4777794,8.828176432
365.6458486,8.842988808
365.9604786,8.856155365
366.3478413,8.869321922
366.6256964,8.882488479
366.3192385,8.897300856
365.747184,8.908821593
366.3699062,8.92363397
366.594642,8.938446346
366.572577,8.953258723
367.0016179,8.968071099
366.480231,8.981237656
366.4892205,8.994404213
367.1160289,9.00757077
367.2083748,9.020737327
367.0481995,9.035549704
366.5063821,9.047070441
367.2263537,9.061882818
367.3693673,9.076695194
367.5033915,9.089861751
367.8229249,9.104674128
367.2484186,9.119486504
367.3121619,9.132653061
367.9218086,9.145819618
367.9790141,9.158986175
367.6243402,9.173798552
367.1356422,9.185319289
367.8556137,9.200131666
368.1465443,9.214944042
368.0272301,9.229756419
368.4963148,9.244568795
368.0337679,9.257735352
367.9373358,9.270901909
368.6875445,9.285714286
368.4758843,9.297235023
368.3900761,9.3120474
368.0623706,9.325213957
368.4521849,9.340026333
368.9474207,9.35319289
368.6172635,9.368005267
368.8967531,9.382817643
368.6458663,9.3959842
368.5224659,9.410796577
369.3650206,9.423963134
369.1713393,9.437129691
368.8199343,9.450296248
368.8199343,9.463462804
369.1124994,9.478275181
369.4974104,9.493087558
369.3674723,9.506254115
369.5725947,9.521066491
369.592208,9.535878868
369.4140538,9.549045425
370.1642626,9.562211982
369.7924271,9.575378539
369.5807669,9.588545095
369.6494134,9.601711652
369.7924271,9.616524029
370.221468,9.631336406
370.1332082,9.644502962
370.0653788,9.659315339
369.9575057,9.672481896
370.0825405,9.685648453
370.7959743,9.700460829
370.3538578,9.713627386
369.9705812,9.726793943
370.0760027,9.7399605
370.3554922,9.754772877
370.6635845,9.769585253
370.6554123,9.78439763
370.5933035,9.797564187
370.454376,9.812376564
370.5140331,9.82554312
371.5290214,9.838709677
371.013355,9.851876234
370.4527415,9.865042791
370.8621692,9.878209348
371.2291013,9.893021725
371.4227826,9.907834101
371.5175803,9.922646478
371.3925455,9.935813035
371.3508672,9.950625411
371.3198128,9.963791968
371.9024913,9.976958525
371.4824398,9.991770902
371.0844532,10.00329164
371.3770183,10.01810402
371.7161649,10.03291639
371.8346619,10.04772877
372.0814626,10.06089533
371.5290214,10.0757077
371.7529399,10.08887426
371.9752239,10.10204082
372.3037467,10.11520737
371.9204701,10.13001975
371.6981861,10.14154049
372.1607331,10.15635286
372.3691244,10.17116524
372.393641,10.1843318
