Date,Tmx,Tmx1,Tmx2,Tmx3,Tmx4,Tmx5,Tmx6,Tmx7,Tmx8,Tmx9,Tmx10,Tmx11,Tmx12,Tmx13,Tmx14,Tmx15,Tmx16,Tmx17,Tmx18,Tmx19,Tmx20,Tmx21,Tmx22,Tmx23,Tmx24,Tmx25,Tmx26,Tmx27,Tmx28,Tmx29,Tmx30,Tmx31
2014-11-02,15.4,22.9,43.7,64.5,83.9,100.80000000000001,120.70000000000002,142.9,163.9,184.5,203.2,218.89999999999998,235.99999999999997,258.7,281.2,302.4,320.4,340.4,360.4,382.09999999999997,411.09999999999997,436.7,463.0,488.4,512.0,534.5,557.1,580.3000000000001,603.3000000000001,624.1,624.1,654.8000000000001
2014-11-03,14.8,15.4,38.3,59.099999999999994,79.89999999999999,99.29999999999998,116.19999999999999,136.1,158.29999999999998,179.29999999999998,199.89999999999998,218.59999999999997,234.29999999999995,251.39999999999995,274.09999999999997,296.59999999999997,317.79999999999995,335.79999999999995,355.79999999999995,375.79999999999995,397.49999999999994,426.49999999999994,452.09999999999997,478.4,503.79999999999995,527.4,549.9,572.5,595.7,618.7,618.7,649.4000000000001
2014-11-04,18.5,14.8,30.200000000000003,53.1,73.9,94.7,114.1,131.0,150.9,173.1,194.1,214.7,233.39999999999998,249.09999999999997,266.2,288.9,311.4,332.59999999999997,350.59999999999997,370.59999999999997,390.59999999999997,412.29999999999995,441.29999999999995,466.9,493.2,518.6,542.2,564.7,587.3000000000001,610.5000000000001,610.5000000000001,641.2000000000002
2014-11-05,18.4,18.5,33.3,48.699999999999996,71.6,92.39999999999999,113.19999999999999,132.6,149.5,169.4,191.6,212.6,233.2,251.89999999999998,267.59999999999997,284.7,307.4,329.9,351.09999999999997,369.09999999999997,389.09999999999997,409.09999999999997,430.79999999999995,459.79999999999995,485.4,511.7,537.1,560.7,583.2,605.8000000000001,605.8000000000001,636.5000000000001
2014-11-06,17.7,18.4,36.9,51.7,67.10000000000001,90.0,110.8,131.6,151.0,167.9,187.8,210.0,231.0,251.6,270.3,286.0,303.1,325.8,348.3,369.5,387.5,407.5,427.5,449.2,478.2,503.8,530.1,555.5,579.1,601.6,601.6,632.3000000000001
2014-11-07,16.5,17.7,36.099999999999994,54.599999999999994,69.39999999999999,84.8,107.69999999999999,128.5,149.3,168.70000000000002,185.60000000000002,205.50000000000003,227.70000000000002,248.70000000000002,269.3,288.0,303.7,320.8,343.5,366.0,387.2,405.2,425.2,445.2,466.9,495.9,521.5,547.8,573.1999999999999,596.8,596.8,627.5
2014-11-08,15.1,16.5,34.2,52.6,71.1,85.89999999999999,101.3,124.19999999999999,145.0,165.8,185.20000000000002,202.10000000000002,222.00000000000003,244.20000000000002,265.20000000000005,285.80000000000007,304.50000000000006,320.20000000000005,337.30000000000007,360.00000000000006,382.50000000000006,403.70000000000005,421.70000000000005,441.70000000000005,461.70000000000005,483.40000000000003,512.4000000000001,538.0000000000001,564.3000000000001,589.7,589.7,620.4000000000001
2014-11-09,15.5,15.1,31.6,49.3,67.69999999999999,86.19999999999999,100.99999999999999,116.39999999999999,139.29999999999998,160.1,180.9,200.3,217.20000000000002,237.10000000000002,259.3,280.3,300.90000000000003,319.6,335.3,352.40000000000003,375.1,397.6,418.8,436.8,456.8,476.8,498.5,527.5,553.1,579.4,579.4,610.1
2014-11-10,16.5,15.5,30.6,47.1,64.8,83.19999999999999,101.69999999999999,116.49999999999999,131.89999999999998,154.79999999999998,175.6,196.4,215.8,232.70000000000002,252.60000000000002,274.8,295.8,316.40000000000003,335.1,350.8,367.90000000000003,390.6,413.1,434.3,452.3,472.3,492.3,514.0,543.0,568.6,568.6,599.3000000000001
2014-11-11,14.5,16.5,32.0,47.1,63.6,81.3,99.69999999999999,118.19999999999999,133.0,148.4,171.3,192.10000000000002,212.90000000000003,232.30000000000004,249.20000000000005,269.1,291.3,312.3,332.90000000000003,351.6,367.3,384.40000000000003,407.1,429.6,450.8,468.8,488.8,508.8,530.5,559.5,559.5,590.2
2014-11-12,10.0,14.5,31.0,46.5,61.6,78.1,95.8,114.19999999999999,132.7,147.5,162.9,185.8,206.60000000000002,227.40000000000003,246.80000000000004,263.70000000000005,283.6,305.8,326.8,347.40000000000003,366.1,381.8,398.90000000000003,421.6,444.1,465.3,483.3,503.3,523.3,545.0,545.0,575.7
2014-11-13,4.3,10.0,24.5,41.0,56.5,71.6,88.1,105.8,124.19999999999999,142.7,157.5,172.9,195.8,216.60000000000002,237.40000000000003,256.8,273.7,293.59999999999997,315.79999999999995,336.79999999999995,357.4,376.09999999999997,391.79999999999995,408.9,431.59999999999997,454.09999999999997,475.29999999999995,493.29999999999995,513.3,533.3,533.3,564.0
2014-11-14,10.0,4.3,14.3,28.8,45.3,60.8,75.89999999999999,92.39999999999999,110.1,128.5,147.0,161.8,177.20000000000002,200.10000000000002,220.90000000000003,241.70000000000005,261.1,278.0,297.9,320.09999999999997,341.09999999999997,361.7,380.4,396.09999999999997,413.2,435.9,458.4,479.59999999999997,497.59999999999997,517.5999999999999,517.5999999999999,548.3
2014-11-15,9.5,10.0,14.3,24.3,38.8,55.3,70.8,85.89999999999999,102.39999999999999,120.1,138.5,157.0,171.8,187.20000000000002,210.10000000000002,230.90000000000003,251.70000000000005,271.1,288.0,307.9,330.09999999999997,351.09999999999997,371.7,390.4,406.09999999999997,423.2,445.9,468.4,489.59999999999997,507.59999999999997,507.59999999999997,538.3
2014-11-16,12.4,9.5,19.5,23.8,33.8,48.3,64.8,80.3,95.39999999999999,111.89999999999999,129.6,148.0,166.5,181.3,196.70000000000002,219.60000000000002,240.40000000000003,261.20000000000005,280.6,297.5,317.4,339.59999999999997,360.59999999999997,381.2,399.9,415.59999999999997,432.7,455.4,477.9,499.09999999999997,499.09999999999997,529.8
2014-11-17,9.0,12.4,21.9,31.9,36.199999999999996,46.199999999999996,60.699999999999996,77.19999999999999,92.69999999999999,107.79999999999998,124.29999999999998,141.99999999999997,160.39999999999998,178.89999999999998,193.7,209.1,232.0,252.8,273.6,293.0,309.9,329.79999999999995,351.99999999999994,372.99999999999994,393.59999999999997,412.29999999999995,427.99999999999994,445.09999999999997,467.79999999999995,490.29999999999995,490.29999999999995,521.0
2014-11-18,10.4,9.0,21.4,30.9,40.9,45.199999999999996,55.199999999999996,69.69999999999999,86.19999999999999,101.69999999999999,116.79999999999998,133.29999999999998,150.99999999999997,169.39999999999998,187.89999999999998,202.7,218.1,241.0,261.8,282.6,302.0,318.9,338.79999999999995,360.99999999999994,381.99999999999994,402.59999999999997,421.29999999999995,436.99999999999994,454.09999999999997,476.79999999999995,476.79999999999995,507.49999999999994
2014-11-19,12.6,10.4,19.4,31.799999999999997,41.3,51.3,55.599999999999994,65.6,80.1,96.6,112.1,127.19999999999999,143.7,161.39999999999998,179.79999999999998,198.29999999999998,213.1,228.5,251.4,272.2,293.0,312.4,329.29999999999995,349.19999999999993,371.3999999999999,392.3999999999999,412.99999999999994,431.69999999999993,447.3999999999999,464.49999999999994,464.49999999999994,495.19999999999993
2014-11-20,14.6,12.6,23.0,32.0,44.4,53.9,63.9,68.2,78.2,92.7,109.2,124.7,139.8,156.3,174.0,192.4,210.9,225.70000000000002,241.10000000000002,264.0,284.8,305.6,325.0,341.9,361.79999999999995,383.99999999999994,404.99999999999994,425.59999999999997,444.29999999999995,459.99999999999994,459.99999999999994,490.69999999999993
2014-11-21,16.5,14.6,27.2,37.6,46.6,59.0,68.5,78.5,82.8,92.8,107.3,123.8,139.3,154.4,170.9,188.6,207.0,225.5,240.3,255.70000000000002,278.6,299.40000000000003,320.20000000000005,339.6,356.5,376.4,398.59999999999997,419.59999999999997,440.2,458.9,458.9,489.59999999999997
2014-11-22,12.7,16.5,31.1,43.7,54.1,63.1,75.5,85.0,95.0,99.3,109.3,123.8,140.3,155.8,170.9,187.4,205.1,223.5,242.0,256.8,272.2,295.09999999999997,315.9,336.7,356.09999999999997,372.99999999999994,392.8999999999999,415.0999999999999,436.0999999999999,456.69999999999993,456.69999999999993,487.3999999999999
